,date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,Overal_23_home,Potencial_23_home,Overal_23_away,Potencial_23_away,Overal_22_home,Potencial_22_home,Overal_22_away,Potencial_22_away,Overal_21_home,Potencial_21_home,Overal_21_away,Potencial_21_away,Overal_20_home,Potencial_20_home,Overal_20_away,Potencial_20_away,Overal_19_home,Potencial_19_home,Overal_19_away,Potencial_19_away,Overal_18_home,Potencial_18_home,Overal_18_away,Potencial_18_away,Overal_17_home,Potencial_17_home,Overal_17_away,Potencial_17_away,result,ndate,away_team_cod,home_team_cod
19191,2017-01-08,Egypt,Tunisia,Africa,Africa,36,35,718,737,1,0,Friendly,Cairo,Egypt,False,No,Win,69.95652173913044,73.1304347826087,66.48,72.32,71.67857142857143,73.64285714285714,67.67647058823529,71.02941176470588,71.3529411764706,73.17647058823529,67.44117647058823,71.20588235294117,69.66071428571429,72.32142857142857,67.48387096774194,71.80645161290323,70.63333333333334,72.16666666666667,68.36585365853658,70.8780487804878,69.61538461538461,72.15384615384616,68.025,70.7,69.03225806451613,72.51612903225806,68.5,71.94444444444444,1,2017-01-08,3,67
19195,2017-01-09,Morocco,Finland,Africa,Europe,57,94,586,367,0,1,Friendly,Al Ain,United Arab Emirates,True,No,Lose,67.34482758620689,73.96551724137932,61.875,70.23214285714286,69.99065420560747,74.08411214953271,65.21212121212122,69.78787878787878,70.06382978723404,74.24468085106383,65.36065573770492,71.52459016393442,69.94252873563218,74.51724137931035,65.17543859649123,71.54385964912281,70.12941176470588,73.91764705882353,63.803030303030305,69.93939393939394,69.65882352941176,73.75294117647059,63.582089552238806,69.85074626865672,70.24,74.41333333333333,63.86153846153846,68.83076923076923,0,2017-01-09,18,3
19199,2017-01-11,Chile,Croatia,South America,Europe,4,14,1403,1103,1,1,Friendly,Nanning,China PR,True,Yes,Win,60.68,69.68571428571428,68.21604938271605,73.6358024691358,68.11029411764706,73.16176470588235,70.27142857142857,75.27142857142857,66.19473684210526,72.35263157894737,69.37086092715232,74.67549668874172,64.41612903225807,70.3225806451613,69.48550724637681,74.97101449275362,64.58620689655173,70.27586206896552,69.62790697674419,74.26356589147287,66.60725075528701,70.78247734138972,69.72,74.31,65.14357682619648,70.37279596977329,68.38983050847457,73.0,0,2017-01-11,8,51
19200,2017-01-11,Congo,Senegal,Africa,Africa,70,33,504,754,0,2,Friendly,Brazzaville,Congo,False,No,Lose,64.91666666666667,69.0,66.49107142857143,72.78571428571429,67.05555555555556,70.44444444444444,69.16778523489933,72.95302013422818,65.77777777777777,70.11111111111111,67.92805755395683,72.83453237410072,65.71428571428571,71.35714285714286,68.5982905982906,73.58974358974359,65.55,70.3,68.74015748031496,73.06299212598425,65.3913043478261,70.26086956521739,68.53846153846153,72.70769230769231,66.16666666666667,69.22222222222223,68.70731707317073,73.4308943089431,0,2017-01-11,27,66
19205,2017-01-14,China PR,Croatia,Asia,Europe,81,14,424,1103,1,1,Friendly,Nanning,China PR,False,Yes,Win,52.23076923076923,59.35076923076923,68.21604938271605,73.6358024691358,62.848101265822784,66.56962025316456,70.27142857142857,75.27142857142857,61.32539682539682,65.7936507936508,69.37086092715232,74.67549668874172,60.10550458715596,64.0229357798165,69.48550724637681,74.97101449275362,59.95355191256831,63.540983606557376,69.62790697674419,74.26356589147287,66.46666666666667,70.1,69.72,74.31,62.6,64.86666666666666,68.38983050847457,73.0,0,2017-01-14,8,36
19211,2017-01-15,Tunisia,Senegal,Africa,Africa,36,33,713,742,0,2,African Cup of Nations,Franceville,Gabon,True,No,Lose,66.48,72.32,66.49107142857143,72.78571428571429,67.67647058823529,71.02941176470588,69.16778523489933,72.95302013422818,67.44117647058823,71.20588235294117,67.92805755395683,72.83453237410072,67.48387096774194,71.80645161290323,68.5982905982906,73.58974358974359,68.36585365853658,70.8780487804878,68.74015748031496,73.06299212598425,68.025,70.7,68.53846153846153,72.70769230769231,68.5,71.94444444444444,68.70731707317073,73.4308943089431,0,2017-01-15,27,43
19220,2017-01-19,Algeria,Tunisia,Africa,Africa,39,36,686,713,1,2,African Cup of Nations,Franceville,Gabon,True,No,Lose,68.37037037037037,73.01851851851852,66.48,72.32,71.51724137931035,74.03448275862068,67.67647058823529,71.02941176470588,71.625,73.85416666666667,67.44117647058823,71.20588235294117,71.3,74.18,67.48387096774194,71.80645161290323,70.9,72.93333333333334,68.36585365853658,70.8780487804878,69.73770491803279,72.27868852459017,68.025,70.7,71.41176470588235,74.31372549019608,68.5,71.94444444444444,0,2017-01-19,3,65
19226,2017-01-21,Ghana,Mali,Africa,Africa,54,64,610,543,1,0,African Cup of Nations,Port-Gentil,Gabon,True,No,Win,65.42241379310344,72.44827586206897,67.24528301886792,74.81132075471699,67.80645161290323,72.45161290322581,69.08955223880596,73.7910447761194,67.36363636363636,73.0530303030303,68.06060606060606,74.36363636363636,67.17424242424242,72.82575757575758,67.98333333333333,74.38333333333334,67.01652892561984,72.7603305785124,67.90384615384616,73.57692307692308,67.65137614678899,73.11009174311927,67.73076923076923,73.34615384615384,65.92561983471074,72.79338842975207,67.375,72.54166666666667,1,2017-01-21,58,52
19233,2017-01-23,Senegal,Algeria,Africa,Africa,33,39,742,686,2,2,African Cup of Nations,Franceville,Gabon,True,No,Draw,66.49107142857143,72.78571428571429,68.37037037037037,73.01851851851852,69.16778523489933,72.95302013422818,71.51724137931035,74.03448275862068,67.92805755395683,72.83453237410072,71.625,73.85416666666667,68.5982905982906,73.58974358974359,71.3,74.18,68.74015748031496,73.06299212598425,70.9,72.93333333333334,68.53846153846153,72.70769230769231,69.73770491803279,72.27868852459017,68.70731707317073,73.4308943089431,71.41176470588235,74.31372549019608,0,2017-01-23,65,46
19238,2017-01-25,Egypt,Ghana,Africa,Africa,35,54,726,610,1,0,African Cup of Nations,Port-Gentil,Gabon,True,No,Win,69.95652173913044,73.1304347826087,65.42241379310344,72.44827586206897,71.67857142857143,73.64285714285714,67.80645161290323,72.45161290322581,71.3529411764706,73.17647058823529,67.36363636363636,73.0530303030303,69.66071428571429,72.32142857142857,67.17424242424242,72.82575757575758,70.63333333333334,72.16666666666667,67.01652892561984,72.7603305785124,69.61538461538461,72.15384615384616,67.65137614678899,73.11009174311927,69.03225806451613,72.51612903225806,65.92561983471074,72.79338842975207,1,2017-01-25,51,67
